user_id,bayesian_rating,appid
faith4ev3r,7.5,86587
Egberth2,2.0,220308
MichaelsCatEmporium,8.5,224483
Bloodfist,9.0,143519
ShelbyH,8.0,244212
chaschen,8.0,6249
Aratai,8.0,229853
sucrates,7.0,9440
mrcl_mtnez,7.5,217861
supervalkyrie,7.0,156943
Githanis,7.0,2651
hwr131819,5.0,198773
Chase87,8.0,170216
LizGamerGirl,9.0,156097
HDfatboylo,7.0,87890
kwcham,9.0,122515
bob_the_goon,6.0,30
SBHD,5.0,256
Schouk,6.0,40793
Gedofgont,9.0,103343
Szamot,6.0,124361
fraterurbs,8.0,161417
RollPatrol,8.0,247763
GreyArcher,7.0,65532
nectar,6.0,183840
bbrooks,8.0,204305
Drek_Overlord,5.0,153938
jazontan,7.0,169649
DarkS0uL,7.0,1044
Thiex,10.0,163602
Thomas72,6.0,58672
jumboshrimpz206,4.0,122159
FreedomGunfire,7.0,110327
jedigoalie,6.0,26696
Jplay,7.0,50750
strangecolours,6.5,8307
zippystar,7.0,271896
snowallsky,9.0,2093
scotteandrews,8.0,1293
Geese,5.0,2452
Thorwolf,6.0,45134
hndrf,7.5,463
DDPage,7.0,228341
CaptainJax,7.0,40692
Baerban,10.0,63268
meccaneer,9.0,3076
maadmccarthy,8.0,13
lordr,5.5,163968
Brave_Keldorn,8.0,256916
Bogarona,8.0,1315
musicalanarchy,8.0,723
Simon Garth,8.0,169318
Mdaugherty,5.0,181810
omam1234,8.0,143519
Seany4,9.0,122515
tonedown,8.0,172308
jirka bauma,7.5,256570
RolfAnders,8.0,165722
tifon,7.0,2223
pmuck,8.0,1
piscine,7.0,54
turnerbn,9.0,171
yadviga,4.0,12
rick98332,7.7,1927
BigMoneyNichols,7.5,98778
Rui Conde,8.8,555
Aenea,6.0,3837
HuginnGreiling,8.6,20101
Dexterus,6.0,160499
sdonohue,7.0,699
frank jaeger,8.0,242
nrgray555,5.6,320
Daniela79,8.5,121921
GuusI,9.0,62222
Yoshimi E,5.0,2944
zmos,8.0,14996
Turbo2000,8.5,158899
Ginet1,5.0,217372
pinkyone,6.2,13
James Harrison,5.0,91536
Odaon,6.0,97786
Vladdjin,8.0,15817
viezemies,6.0,232043
glenndejaeger,8.0,257726
